,time (s),DP(μcal/s)
176,1.0,-0.002951
177,2.0,-0.002481
178,3.0,-0.003411
179,4.0,-0.004881
180,5.0,-0.006361
181,6.0,-0.007091
182,7.0,-0.007791
183,8.0,-0.00828
184,9.0,-0.00806
185,10.0,-0.00757
186,11.0,-0.0075
187,12.0,-0.00766
188,13.0,-0.0079
189,14.0,-0.00825
190,15.0,-0.00841
191,16.0,-0.008379
192,17.0,-0.008153
193,18.0,-0.007927
194,19.0,-0.007801
195,20.0,-0.007665
196,21.0,-0.007539
197,22.0,-0.007433
198,23.0,-0.007207
199,24.0,-0.006811
200,25.0,-0.006615
201,26.0,-0.006539
202,27.0,-0.006453
203,28.0,-0.006567
204,29.0,-0.006791
205,30.0,-0.006885
206,31.0,-0.006779
207,32.0,-0.006673
208,33.0,-0.006567
209,34.0,-0.006481
210,35.0,-0.006205
211,36.0,-0.006169
212,37.0,-0.006293
213,38.0,-0.006397
214,39.0,-0.006391
215,40.0,-0.006285
216,41.0,-0.0062
217,42.0,-0.005954
218,43.0,-0.005908
219,44.0,-0.005842
220,45.0,-0.005626
221,46.0,-0.00555
222,47.0,-0.005604
223,48.0,-0.005588
224,49.0,-0.005476
225,50.0,-0.005444
226,51.0,-0.005512
227,52.0,-0.00552
228,53.0,-0.005598
229,54.0,-0.005676
230,55.0,-0.005834
231,56.0,-0.005762
232,57.0,-0.00557
233,58.0,-0.005308
234,59.0,-0.005116
235,60.0,-0.005114
236,61.0,-0.005122
237,62.0,-0.0052
238,63.0,-0.005068
239,64.0,-0.005006
240,65.0,-0.005124
241,66.0,-0.005222
242,67.0,-0.00527
243,68.0,-0.005398
244,69.0,-0.005517
245,70.0,-0.005525
246,71.0,-0.005533
247,72.0,-0.005611
248,73.0,-0.005689
249,74.0,-0.005607
250,75.0,-0.005515
251,76.0,-0.005533
252,77.0,-0.005391
253,78.0,-0.005349
254,79.0,-0.005447
255,80.0,-0.005505
256,81.0,-0.005507
257,82.0,-0.005419
258,83.0,-0.005511
259,84.0,-0.005453
260,85.0,-0.005305
261,86.0,-0.005197
262,87.0,-0.005118
263,88.0,-0.00497
264,89.0,-0.004992
265,90.0,-0.004984
266,91.0,-0.004976
267,92.0,-0.005098
268,93.0,-0.00511
269,94.0,-0.005152
270,95.0,-0.005234
271,96.0,-0.005195
272,97.0,-0.005267
273,98.0,-0.005509
274,99.0,-0.005641
275,100.0,-0.005683
276,101.0,-0.005825
277,102.0,-0.006007
278,103.0,-0.006139
279,104.0,-0.00636
280,105.0,-0.006622
281,106.0,-0.006714
282,107.0,-0.006556
283,108.0,-0.006538
284,109.0,-0.00655
285,110.0,-0.006522
286,111.0,-0.006454
287,112.0,-0.006316
288,113.0,-0.006172
289,114.0,-0.006087
290,115.0,-0.006073
291,116.0,-0.006248
292,117.0,-0.006464
293,118.0,-0.00635
294,119.0,-0.006165
295,120.0,-0.005991
296,121.0,-0.005836
297,122.0,-0.005712
298,123.0,-0.005637
299,124.0,-0.005603
300,125.0,-0.005478
301,126.0,-0.005414
302,127.0,-0.005609
303,128.0,-0.005725
304,129.0,-0.00565
305,130.0,-0.005616
306,131.0,-0.005692
307,132.0,-0.005777
308,133.0,-0.005833
309,134.0,-0.005898
310,135.0,-0.005814
311,136.0,-0.005589
312,137.0,-0.005315
313,138.0,-0.00518
314,139.0,-0.005116
315,140.0,-0.005021
316,141.0,-0.004917
317,142.0,-0.005063
318,143.0,-0.004998
319,144.0,-0.004795
320,145.0,-0.004684
321,146.0,-0.004703
322,147.0,-0.004722
323,148.0,-0.004641
324,149.0,-0.00457
325,150.0,-0.004439
326,151.0,-0.004268
327,152.0,-0.004057
328,153.0,-0.003986
329,154.0,-0.003915
330,155.0,-0.003914
331,156.0,-0.004063
332,157.0,-0.004232
333,158.0,-0.004311
334,159.0,-0.00438
335,160.0,-0.004489
336,161.0,-0.004638
337,162.0,-0.004677
338,163.0,-0.004876
339,164.0,-0.005065
340,165.0,-0.005314
341,166.0,-0.005313
342,167.0,-0.005192
343,168.0,-0.005221
344,169.0,-0.00528
345,170.0,-0.00543
346,171.0,-0.005549
347,172.0,-0.005588
348,173.0,-0.005717
349,174.0,-0.005826
350,175.0,-0.005985
351,176.0,-0.005775
352,177.0,-0.005588
353,178.0,-0.00561
354,179.0,-0.005722
355,180.0,-0.005875
356,181.0,-0.005887
357,182.0,-0.005879
358,183.0,-0.005862
359,184.0,-0.006104
360,185.0,-0.006406
361,186.0,-0.006679
362,187.0,-0.006891
363,188.0,-0.006923
364,189.0,-0.006826
365,190.0,-0.006808
366,191.0,-0.0069
367,192.0,-0.007033
368,193.0,-0.007025
369,194.0,-0.006957
370,195.0,-0.00706
371,196.0,-0.007422
372,197.0,-0.007824
373,198.0,-0.008117
374,199.0,-0.008279
375,200.0,-0.008211
376,201.0,-0.008154
377,202.0,-0.008056
378,203.0,-0.007758
379,204.0,-0.007511
380,205.0,-0.007413
381,206.0,-0.007245
382,207.0,-0.007298
383,208.0,-0.007382
384,209.0,-0.007557
385,210.0,-0.007753
386,211.0,-0.007808
387,212.0,-0.007854
388,213.0,-0.007939
389,214.0,-0.007945
390,215.0,-0.00772
391,216.0,-0.007476
392,217.0,-0.007221
393,218.0,-0.006937
394,219.0,-0.006722
