,time (s),DP(μcal/s)
176,1.0,-0.003794
177,2.0,-0.004305
178,3.0,-0.005946
179,4.0,-0.010577
180,5.0,-0.024118
181,6.0,-0.045969
182,7.0,-0.06424
183,8.0,-0.083511
184,9.0,-0.101722
185,10.0,-0.113063
186,11.0,-0.127094
187,12.0,-0.141285
188,13.0,-0.151916
189,14.0,-0.157727
190,15.0,-0.164478
191,16.0,-0.168689
192,17.0,-0.173002
193,18.0,-0.174465
194,19.0,-0.179218
195,20.0,-0.182151
196,21.0,-0.182694
197,22.0,-0.184057
198,23.0,-0.18528
199,24.0,-0.187343
200,25.0,-0.189356
201,26.0,-0.192209
202,27.0,-0.195353
203,28.0,-0.197616
204,29.0,-0.201099
205,30.0,-0.199012
206,31.0,-0.198035
207,32.0,-0.199208
208,33.0,-0.198911
209,34.0,-0.201004
210,35.0,-0.199717
211,36.0,-0.20205
212,37.0,-0.204713
213,38.0,-0.207817
214,39.0,-0.20493
215,40.0,-0.203523
216,41.0,-0.206216
217,42.0,-0.207289
218,43.0,-0.207452
219,44.0,-0.206265
220,45.0,-0.205558
221,46.0,-0.204021
222,47.0,-0.204894
223,48.0,-0.206388
224,49.0,-0.207133
225,50.0,-0.201358
226,51.0,-0.202953
227,52.0,-0.207708
228,53.0,-0.208653
229,54.0,-0.209798
230,55.0,-0.206254
231,56.0,-0.202939
232,57.0,-0.201844
233,58.0,-0.203519
234,59.0,-0.205904
235,60.0,-0.207639
236,61.0,-0.207824
237,62.0,-0.207349
238,63.0,-0.206465
239,64.0,-0.20496
240,65.0,-0.206765
241,66.0,-0.20749
242,67.0,-0.207025
243,68.0,-0.2071
244,69.0,-0.205895
245,70.0,-0.20496
246,71.0,-0.209446
247,72.0,-0.209391
248,73.0,-0.202286
249,74.0,-0.206301
250,75.0,-0.209676
251,76.0,-0.207061
252,77.0,-0.206016
253,78.0,-0.207291
254,79.0,-0.206166
255,80.0,-0.205862
256,81.0,-0.208729
257,82.0,-0.212306
258,83.0,-0.213613
259,84.0,-0.213471
260,85.0,-0.211038
261,86.0,-0.208895
262,87.0,-0.207352
263,88.0,-0.206989
264,89.0,-0.207066
265,90.0,-0.205333
266,91.0,-0.20706
267,92.0,-0.209337
268,93.0,-0.206174
269,94.0,-0.204931
270,95.0,-0.207298
271,96.0,-0.206535
272,97.0,-0.206902
273,98.0,-0.207889
274,99.0,-0.211726
275,100.0,-0.211894
276,101.0,-0.205611
277,102.0,-0.204078
278,103.0,-0.207095
279,104.0,-0.209962
280,105.0,-0.210559
281,106.0,-0.208286
282,107.0,-0.208923
283,108.0,-0.21159
284,109.0,-0.212217
285,110.0,-0.209784
286,111.0,-0.206541
287,112.0,-0.207009
288,113.0,-0.213158
289,114.0,-0.209057
290,115.0,-0.209166
291,116.0,-0.208455
292,117.0,-0.207654
293,118.0,-0.207453
294,119.0,-0.210232
295,120.0,-0.213411
296,121.0,-0.212899
297,122.0,-0.210368
298,123.0,-0.208787
299,124.0,-0.208736
300,125.0,-0.210695
301,126.0,-0.210434
302,127.0,-0.210103
303,128.0,-0.212492
304,129.0,-0.211461
305,130.0,-0.21285
306,131.0,-0.212159
307,132.0,-0.217187
308,133.0,-0.220346
309,134.0,-0.216265
310,135.0,-0.211594
311,136.0,-0.207113
312,137.0,-0.212492
313,138.0,-0.211341
314,139.0,-0.20748
315,140.0,-0.207979
316,141.0,-0.208188
317,142.0,-0.205137
318,143.0,-0.204836
319,144.0,-0.204206
320,145.0,-0.207366
321,146.0,-0.204527
322,147.0,-0.202148
323,148.0,-0.199928
324,149.0,-0.197599
325,150.0,-0.19116
326,151.0,-0.18316
327,152.0,-0.183161
328,153.0,-0.177932
329,154.0,-0.178652
330,155.0,-0.176073
331,156.0,-0.170974
332,157.0,-0.166144
333,158.0,-0.160485
334,159.0,-0.156316
335,160.0,-0.150676
336,161.0,-0.145207
337,162.0,-0.139708
338,163.0,-0.130219
339,164.0,-0.126319
340,165.0,-0.12407
341,166.0,-0.112621
342,167.0,-0.111401
343,168.0,-0.111712
344,169.0,-0.103803
345,170.0,-0.096833
346,171.0,-0.091594
347,172.0,-0.085645
348,173.0,-0.083045
349,174.0,-0.078496
350,175.0,-0.076527
351,176.0,-0.078069
352,177.0,-0.074451
353,178.0,-0.069833
354,179.0,-0.067566
355,180.0,-0.067678
356,181.0,-0.068601
357,182.0,-0.065043
358,183.0,-0.061685
359,184.0,-0.058508
360,185.0,-0.05637
361,186.0,-0.054972
362,187.0,-0.053935
363,188.0,-0.053527
364,189.0,-0.052629
365,190.0,-0.051632
366,191.0,-0.050054
367,192.0,-0.048626
368,193.0,-0.046879
369,194.0,-0.044851
370,195.0,-0.042793
371,196.0,-0.041486
372,197.0,-0.040458
373,198.0,-0.03997
374,199.0,-0.039113
375,200.0,-0.038655
376,201.0,-0.038648
377,202.0,-0.03852
378,203.0,-0.038952
379,204.0,-0.039205
380,205.0,-0.039497
381,206.0,-0.039679
382,207.0,-0.040242
383,208.0,-0.040106
384,209.0,-0.03991
385,210.0,-0.039853
386,211.0,-0.039337
387,212.0,-0.038261
388,213.0,-0.037095
389,214.0,-0.036419
390,215.0,-0.035983
391,216.0,-0.034877
392,217.0,-0.033931
393,218.0,-0.032735
394,219.0,-0.031679
395,220.0,-0.030983
396,221.0,-0.029937
397,222.0,-0.029141
398,223.0,-0.028385
399,224.0,-0.027939
400,225.0,-0.027642
401,226.0,-0.027156
402,227.0,-0.02644
403,228.0,-0.025764
404,229.0,-0.025478
405,230.0,-0.025472
406,231.0,-0.025276
407,232.0,-0.02559
408,233.0,-0.025824
409,234.0,-0.026238
410,235.0,-0.026432
411,236.0,-0.026546
412,237.0,-0.02691
413,238.0,-0.026754
414,239.0,-0.026668
415,240.0,-0.026353
416,241.0,-0.026589
417,242.0,-0.027144
418,243.0,-0.0275
419,244.0,-0.027585
420,245.0,-0.0271
421,246.0,-0.026496
422,247.0,-0.026391
423,248.0,-0.025807
424,249.0,-0.025822
425,250.0,-0.026188
426,251.0,-0.025863
427,252.0,-0.025208
428,253.0,-0.024224
429,254.0,-0.023869
430,255.0,-0.023535
431,256.0,-0.02326
432,257.0,-0.022486
433,258.0,-0.022341
434,259.0,-0.022196
435,260.0,-0.022182
436,261.0,-0.021967
437,262.0,-0.021443
438,263.0,-0.021288
439,264.0,-0.020994
440,265.0,-0.020649
441,266.0,-0.020674
442,267.0,-0.02115
443,268.0,-0.021575
444,269.0,-0.021591
445,270.0,-0.021496
446,271.0,-0.021372
447,272.0,-0.021059
448,273.0,-0.020856
449,274.0,-0.020123
450,275.0,-0.019779
451,276.0,-0.020026
452,277.0,-0.020063
453,278.0,-0.02011
454,279.0,-0.020287
455,280.0,-0.020394
456,281.0,-0.01974
457,282.0,-0.019437
458,283.0,-0.019734
459,284.0,-0.019411
460,285.0,-0.019238
461,286.0,-0.018845
462,287.0,-0.018381
463,288.0,-0.018178
464,289.0,-0.018205
465,290.0,-0.017852
466,291.0,-0.017709
467,292.0,-0.017736
468,293.0,-0.017632
469,294.0,-0.017619
470,295.0,-0.017396
471,296.0,-0.016633
472,297.0,-0.01691
473,298.0,-0.017067
474,299.0,-0.017233
475,300.0,-0.01749
476,301.0,-0.017737
477,302.0,-0.018024
478,303.0,-0.018541
479,304.0,-0.0188
480,305.0,-0.018818
481,306.0,-0.018526
482,307.0,-0.018404
483,308.0,-0.018312
484,309.0,-0.01809
485,310.0,-0.017818
486,311.0,-0.017707
487,312.0,-0.017875
488,313.0,-0.017763
489,314.0,-0.017921
490,315.0,-0.017979
491,316.0,-0.017897
492,317.0,-0.017926
493,318.0,-0.017634
494,319.0,-0.017302
495,320.0,-0.01746
496,321.0,-0.017568
497,322.0,-0.017876
498,323.0,-0.018244
499,324.0,-0.018303
500,325.0,-0.018371
501,326.0,-0.018279
502,327.0,-0.018117
503,328.0,-0.018005
504,329.0,-0.018003
505,330.0,-0.017951
506,331.0,-0.01852
507,332.0,-0.018958
508,333.0,-0.018866
509,334.0,-0.019024
510,335.0,-0.019043
511,336.0,-0.018872
512,337.0,-0.019172
513,338.0,-0.019631
514,339.0,-0.020471
515,340.0,-0.02133
516,341.0,-0.020509
517,342.0,-0.020149
518,343.0,-0.020208
519,344.0,-0.019647
520,345.0,-0.018597
521,346.0,-0.017876
522,347.0,-0.017096
523,348.0,-0.016665
524,349.0,-0.016174
525,350.0,-0.015584
526,351.0,-0.015353
527,352.0,-0.015152
528,353.0,-0.015162
529,354.0,-0.015601
530,355.0,-0.015751
531,356.0,-0.01596
532,357.0,-0.016359
533,358.0,-0.016749
