,time (s),DP(μcal/s)
176,1.0,0.003421
177,2.0,0.001849
178,3.0,-0.002203
179,4.0,-0.006055
180,5.0,-0.010237
181,6.0,-0.014959
182,7.0,-0.018591
183,8.0,-0.026683
184,9.0,-0.034385
185,10.0,-0.044986
186,11.0,-0.054753
187,12.0,-0.062612
188,13.0,-0.074
189,14.0,-0.084508
190,15.0,-0.090516
191,16.0,-0.098035
192,17.0,-0.106003
193,18.0,-0.119161
194,19.0,-0.127849
195,20.0,-0.135148
196,21.0,-0.138316
197,22.0,-0.143374
198,23.0,-0.153562
199,24.0,-0.157991
200,25.0,-0.163759
201,26.0,-0.167567
202,27.0,-0.169895
203,28.0,-0.174034
204,29.0,-0.180132
205,30.0,-0.18247
206,31.0,-0.186518
207,32.0,-0.190617
208,33.0,-0.188285
209,34.0,-0.188453
210,35.0,-0.195171
211,36.0,-0.19523
212,37.0,-0.202048
213,38.0,-0.208016
214,39.0,-0.211234
215,40.0,-0.210933
216,41.0,-0.216241
217,42.0,-0.216125
218,43.0,-0.211849
219,44.0,-0.215143
220,45.0,-0.217638
221,46.0,-0.215122
222,47.0,-0.218226
223,48.0,-0.22299
224,49.0,-0.225795
225,50.0,-0.224769
226,51.0,-0.222663
227,52.0,-0.221977
228,53.0,-0.226812
229,54.0,-0.226336
230,55.0,-0.22592
231,56.0,-0.225774
232,57.0,-0.227469
233,58.0,-0.229203
234,59.0,-0.231897
235,60.0,-0.227311
236,61.0,-0.228656
237,62.0,-0.22805
238,63.0,-0.227874
239,64.0,-0.229258
240,65.0,-0.230033
241,66.0,-0.228527
242,67.0,-0.227921
243,68.0,-0.225735
244,69.0,-0.22914
245,70.0,-0.230804
246,71.0,-0.230588
247,72.0,-0.226913
248,73.0,-0.227023
249,74.0,-0.228253
250,75.0,-0.230823
251,76.0,-0.228593
252,77.0,-0.230253
253,78.0,-0.231043
254,79.0,-0.224833
255,80.0,-0.227223
256,81.0,-0.230483
257,82.0,-0.231563
258,83.0,-0.234133
259,84.0,-0.232923
260,85.0,-0.231923
261,86.0,-0.231913
262,87.0,-0.227663
263,88.0,-0.227753
264,89.0,-0.224522
265,90.0,-0.222632
266,91.0,-0.219342
267,92.0,-0.222092
268,93.0,-0.222362
269,94.0,-0.220772
270,95.0,-0.220722
271,96.0,-0.223752
272,97.0,-0.222152
273,98.0,-0.219872
274,99.0,-0.219402
275,100.0,-0.219712
276,101.0,-0.221272
277,102.0,-0.220122
278,103.0,-0.218933
279,104.0,-0.219329
280,105.0,-0.214384
281,106.0,-0.21653
282,107.0,-0.217385
283,108.0,-0.215441
284,109.0,-0.215236
285,110.0,-0.214552
286,111.0,-0.215227
287,112.0,-0.214393
288,113.0,-0.212798
289,114.0,-0.205503
290,115.0,-0.205919
291,116.0,-0.207584
292,117.0,-0.20784
293,118.0,-0.208075
294,119.0,-0.206021
295,120.0,-0.204756
296,121.0,-0.202822
297,122.0,-0.205127
298,123.0,-0.205133
299,124.0,-0.203968
300,125.0,-0.202314
301,126.0,-0.199199
302,127.0,-0.199764
303,128.0,-0.19812
304,129.0,-0.195035
305,130.0,-0.194531
306,131.0,-0.193986
307,132.0,-0.195242
308,133.0,-0.194417
309,134.0,-0.192984
310,135.0,-0.192075
311,136.0,-0.191296
312,137.0,-0.190456
313,138.0,-0.190027
314,139.0,-0.188428
315,140.0,-0.185618
316,141.0,-0.188509
317,142.0,-0.18535
318,143.0,-0.18329
319,144.0,-0.177401
320,145.0,-0.181562
321,146.0,-0.182173
322,147.0,-0.180623
323,148.0,-0.177704
324,149.0,-0.176505
325,150.0,-0.177585
326,151.0,-0.174576
327,152.0,-0.171937
328,153.0,-0.172597
329,154.0,-0.172838
330,155.0,-0.172119
331,156.0,-0.171769
332,157.0,-0.17036
333,158.0,-0.169321
334,159.0,-0.170121
335,160.0,-0.167122
336,161.0,-0.165633
337,162.0,-0.166953
338,163.0,-0.163774
339,164.0,-0.163555
340,165.0,-0.163328
341,166.0,-0.162013
342,167.0,-0.161299
343,168.0,-0.157535
344,169.0,-0.15455
345,170.0,-0.151206
346,171.0,-0.157101
347,172.0,-0.151437
348,173.0,-0.147603
349,174.0,-0.147368
350,175.0,-0.150084
351,176.0,-0.14704
352,177.0,-0.145465
353,178.0,-0.144191
354,179.0,-0.143766
355,180.0,-0.141952
356,181.0,-0.139138
357,182.0,-0.138243
358,183.0,-0.142609
359,184.0,-0.137845
360,185.0,-0.1313
361,186.0,-0.133016
362,187.0,-0.133061
363,188.0,-0.128017
364,189.0,-0.125203
365,190.0,-0.127128
366,191.0,-0.124104
367,192.0,-0.12173
368,193.0,-0.121895
369,194.0,-0.121411
370,195.0,-0.122136
371,196.0,-0.119925
372,197.0,-0.116825
373,198.0,-0.116325
374,199.0,-0.117326
375,200.0,-0.114736
376,201.0,-0.112966
377,202.0,-0.112227
378,203.0,-0.112387
379,204.0,-0.111857
380,205.0,-0.110998
381,206.0,-0.110208
382,207.0,-0.107668
383,208.0,-0.104029
384,209.0,-0.100059
385,210.0,-0.101169
386,211.0,-0.1033
387,212.0,-0.10263
388,213.0,-0.1033
389,214.0,-0.101031
390,215.0,-0.100081
391,216.0,-0.098301
392,217.0,-0.092841
393,218.0,-0.090952
394,219.0,-0.090922
395,220.0,-0.089272
396,221.0,-0.086843
397,222.0,-0.086373
398,223.0,-0.084283
399,224.0,-0.081844
400,225.0,-0.081364
401,226.0,-0.082844
402,227.0,-0.083378
403,228.0,-0.080863
404,229.0,-0.079417
405,230.0,-0.076572
406,231.0,-0.075017
407,232.0,-0.073852
408,233.0,-0.074486
409,234.0,-0.074481
410,235.0,-0.073926
411,236.0,-0.072451
412,237.0,-0.072165
413,238.0,-0.0726
414,239.0,-0.072835
415,240.0,-0.07235
416,241.0,-0.070024
417,242.0,-0.068449
418,243.0,-0.066794
419,244.0,-0.065089
420,245.0,-0.063843
421,246.0,-0.063538
422,247.0,-0.063063
423,248.0,-0.062448
424,249.0,-0.061632
425,250.0,-0.060707
426,251.0,-0.060182
427,252.0,-0.059147
428,253.0,-0.058261
429,254.0,-0.057506
430,255.0,-0.056441
431,256.0,-0.055525
432,257.0,-0.05484
433,258.0,-0.053989
434,259.0,-0.053138
435,260.0,-0.052336
436,261.0,-0.051065
437,262.0,-0.049724
438,263.0,-0.048653
439,264.0,-0.047662
440,265.0,-0.047201
441,266.0,-0.04666
442,267.0,-0.046179
443,268.0,-0.045528
444,269.0,-0.044527
445,270.0,-0.043866
446,271.0,-0.043324
447,272.0,-0.042763
448,273.0,-0.042452
449,274.0,-0.041841
450,275.0,-0.04118
451,276.0,-0.040309
452,277.0,-0.039548
453,278.0,-0.039077
454,279.0,-0.038666
455,280.0,-0.038585
456,281.0,-0.038274
457,282.0,-0.038062
458,283.0,-0.037691
459,284.0,-0.03736
460,285.0,-0.037039
461,286.0,-0.036688
462,287.0,-0.036537
463,288.0,-0.036326
