DP_X,DP_Y,Baseline_X,Baseline_Y,Fit_X,Fit_Y,NDH_X,NDH_Y
0.083333,0.000825,,,,,,
0.1,-0.000164,,,,,,
0.116667,-0.000502,,,,,,
0.133333,-0.000611,,,,,,
0.15,-0.00047,,,,,,
0.166667,-0.000569,,,,,,
0.183333,-0.000698,,,,,,
0.2,-0.000936,,,,,,
0.216667,-0.001165,,,,,,
0.233333,-0.001054,,,,,,
0.25,-0.000953,,,,,,
0.266667,-0.000852,,,,,,
0.283333,-0.000761,,,,,,
0.3,-0.000529,,,,,,
0.316667,-0.000118,,,,,,
0.333333,0.000173,,,,,,
0.35,0.000384,,,,,,
0.366667,0.000615,,,,,,
0.383333,0.000637,,,,,,
0.4,0.000578,,,,,,
0.416667,0.000469,,,,,,
0.433333,0.00024,,,,,,
0.45,-0.000109,,,,,,
0.466667,-0.000277,,,,,,
0.483333,-0.000276,,,,,,
0.5,-0.000025,,,,,,
0.516667,0.000166,,,,,,
0.533333,0.000187,,,,,,
0.55,0.000149,,,,,,
0.566667,0.00008,,,,,,
0.583333,0.000021,,,,,,
0.6,-0.000218,,,,,,
0.616667,-0.000525,,,,,,
0.633333,-0.000423,,,,,,
0.65,0.00009,,,,,,
0.666667,0.000442,,,,,,
0.683333,0.000545,,,,,,
0.7,0.000597,,,,,,
0.716667,0.00059,,,,,,
0.733333,0.000442,,,,,,
0.75,0.000385,,,,,,
0.766667,0.000577,,,,,,
0.783333,0.00079,,,,,,
0.8,0.000682,,,,,,
0.816667,0.000695,,,,,,
0.833333,0.000767,,,,,,
0.85,0.00068,,,,,,
0.866667,0.000772,,,,,,
0.883333,0.000885,,,,,,
0.9,0.000937,,,,,,
0.916667,0.000949,,,,,,
0.933333,0.000882,,,,,,
0.95,0.000644,,,,,,
0.966667,0.000287,,,,,,
0.983333,0.000329,,,,,,
1,0.000292,,,,,,
1.016667,0.000414,,,,,,
1.033333,0.000667,,,,,,
1.05,0.000839,,,,,,
1.066667,0.001002,,,,,,
1.083333,0.001164,,,,,,
1.1,0.001357,,,,,,
1.116667,0.001519,,,,,,
1.133333,0.001513,,,,,,
1.15,0.001436,,,,,,
1.166667,0.001089,,,,,,
1.183333,0.000902,,,,,,
1.2,0.000795,,,,,,
1.216667,0.000728,,,,,,
1.233333,0.000511,,,,,,
1.25,0.000534,,,,,,
1.266667,0.000417,,,,,,
1.283333,0.00023,,,,,,
1.3,0.000033,,,,,,
1.316667,-0.000224,,,,,,
1.333333,-0.00039,,,,,,
1.35,-0.000607,,,,,,
1.366667,-0.000754,,,,,,
1.383333,-0.000781,,,,,,
1.4,-0.000728,,,,,,
1.416667,-0.000795,,,,,,
1.433333,-0.001012,,,,,,
1.45,-0.000999,,,,,,
1.466667,-0.000696,,,,,,
1.483333,-0.000813,,,,,,
1.5,-0.00101,,,,,,
1.516667,-0.000917,,,,,,
1.533333,-0.000964,,,,,,
1.55,-0.00101,,,,,,
1.566667,-0.000877,,,,,,
1.583333,-0.001044,,,,,,
1.6,-0.000821,,,,,,
1.616667,-0.000588,,,,,,
1.633333,-0.000536,,,,,,
1.65,-0.000166,,,,,,
1.666667,-0.000236,,,,,,
1.683333,-0.000306,,,,,,
1.7,-0.000396,,,,,,
