,coef,se,n1,Tmix1,Titc1,Hdil1,n2,Tmix2,Titc2,Hdil2,n3,Tmix3,Titc3,Hdil3,pkoff,pKd,H
n1,1.1591708816678306,0.006655160185787719,1.0000000000000002,0.49148150207511565,0.043105942956228535,0.8100812590684023,0.4177809821120214,0.059669476507103865,0.6513056846216144,0.5697158349672976,0.5074341800049088,0.5827567220279757,0.16703459016227384,0.6085102892227787,0.7541253868784576,0.7070524100326793,-0.4948629445982651
Tmix1,1.5760106113755112,0.2619051304774822,0.49148150207511354,0.9999999999999999,-0.40608394131024866,0.18987902395301332,0.4128564416678398,0.19971097402480142,0.4272741044567798,0.21761905413031365,0.4395654824085543,0.33479360958141396,0.29840814347731626,0.22033895798823588,0.509023633345064,0.2765116732895399,0.05866490480454863
Titc1,13.146843760908094,0.3121988005748498,0.04310594295624617,-0.4060839413102464,1.0000000000000002,0.11766497812090619,0.2476250606233819,0.04298155059613975,0.3777953028205557,0.3199361386127145,0.2979069275434291,0.33545731902894194,0.10645150121329343,0.3413359309371323,0.435552981944489,0.39504540331092175,-0.2643837972056593
Hdil1,-0.0009915111908095507,7.004827769804776e-05,0.8100812590683953,0.18987902395301806,0.11766497812087948,0.9999999999999998,0.16838529255821097,-0.14819386636870877,0.5254261405525191,0.6517944568255082,0.2799942236250403,0.5282719427207191,-0.09598678220393907,0.7108405602110399,0.592300729503786,0.8023104759785629,-0.8693450468924041
n2,0.8148858858210953,0.005982516862681026,0.41778098211203263,0.4128564416678387,0.24762506062338646,0.1683852925582291,0.9999999999999999,0.5118410855757302,0.2622595571414251,0.7332388649023229,0.5181532336321985,0.40900303672106386,0.31772128714957815,0.32025334211927403,0.6258195718242107,0.41571655369687993,-0.03473279617359618
Tmix2,0.8449364214836458,0.17678151295434733,0.059669476507113225,0.19971097402480317,0.04298155059615,-0.14819386636869292,0.5118410855757408,1.0,-0.23584891063965818,0.20995105143253642,0.19272319248791944,0.07086038046115496,0.19951580931514964,-0.040456886349228456,0.15873945542576498,-0.02891066759826623,0.2434645991711221
Titc2,15.660597654402588,0.4809773004837754,0.651305684621616,0.42727410445678277,0.37779530282053686,0.5254261405525256,0.2622595571414103,-0.23584891063966937,0.9999999999999998,0.37298498687677184,0.5964424590757327,0.6349470899655808,0.2553245106229755,0.6023562309871348,0.8350685475904108,0.6920971756332764,-0.39727196376293866
Hdil2,-0.0005995326849751129,5.203808758438013e-05,0.5697158349673009,0.2176190541303162,0.3199361386127034,0.6517944568255203,0.7332388649023133,0.2099510514325236,0.3729849868767778,0.9999999999999999,0.4074062896331418,0.5316886344240359,0.054190761727854996,0.6402341949926477,0.6739687398423992,0.7585745800211834,-0.6464333398450803
n3,0.8118416043614131,0.0054526261793023355,0.5074341800049185,0.4395654824085488,0.29790692754343884,0.2799942236250578,0.5181532336321961,0.1927231924879061,0.5964424590757476,0.40740628963315123,1.0000000000000002,0.33004340912857355,0.4052325530111334,0.7460954851307064,0.7248019057074417,0.5307326791850913,-0.14592184150290521
Tmix3,13.716920311202886,0.4612793709683779,0.5827567220279771,0.3347936095814198,0.3354573190289271,0.5282719427207258,0.40900303672105304,0.0708603804611468,0.6349470899655812,0.5316886344240325,0.33004340912856167,1.0,-0.3095600791644284,0.4248612451674525,0.7238171287641264,0.6491941602362336,-0.43937732326493356
Titc3,1.3787209167503864,0.2710214496086382,0.16703459016228234,0.2984081434773128,0.10645150121330552,-0.09598678220392752,0.31772128714958303,0.19951580931514712,0.2553245106229853,0.05419076172786496,0.4052325530111395,-0.30956007916441985,0.9999999999999999,0.14046416998714445,0.3136305814925806,0.07638133347881881,0.22408725463687962
Hdil3,-0.0007283899489588741,5.152570940994708e-05,0.6085102892227778,0.22033895798823297,0.34133593093713027,0.7108405602110495,0.32025334211926326,-0.04045688634924408,0.6023562309871399,0.6402341949926477,0.7460954851306957,0.4248612451674567,0.14046416998713382,1.0,0.711267325992419,0.8107059458153493,-0.7088010015968941
pkoff,-2.1334086291080734,0.040616609061203145,0.7541253868784609,0.5090236333450568,0.4355529819444952,0.5923007295038,0.6258195718242028,0.1587394554257505,0.8350685475904199,0.673968739842404,0.7248019057074335,0.7238171287641336,0.3136305814925716,0.7112673259924236,1.0,0.8627784955891353,-0.46450220805810793
pKd,-0.06545306376178088,0.01915512100609473,0.7070524100326802,0.27651167328953535,0.39504540331091664,0.8023104759785737,0.41571655369686944,-0.028910667598276724,0.6920971756332805,0.7585745800211843,0.5307326791850786,0.6491941602362379,0.07638133347880739,0.8107059458153484,0.8627784955891302,1.0000000000000002,-0.817364763480885
H,-0.013101871497412593,9.00119437874241e-05,-0.4948629445982591,0.058664904804538294,-0.26438379720563343,-0.8693450468924047,-0.03473279617357867,0.24346459917113727,-0.3972719637629339,-0.6464333398450689,-0.14592184150288678,-0.4393773232649282,0.22408725463689158,-0.7088010015968823,-0.46450220805809167,-0.8173647634808726,1.0000000000000002
